hz,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
4.74872,0.627903
4.87436,0.393106
5.,0.555299
0.1,0.318847
0.225641,0.3068
0.351282,0.309282
0.476923,0.3131
0.602564,0.309182
0.728205,0.306104
0.853846,0.332792
0.979487,0.37904
1.10513,0.37651
1.23077,0.325287
1.35641,0.347041
1.48205,0.373483
1.60769,0.404599
1.73333,0.330674
1.85897,0.392348
1.98462,0.467167
2.11026,0.541357
2.2359,0.514171
2.36154,0.407794
2.48718,0.358047
2.61282,0.572556
2.73846,0.532477
2.8641,0.437256
2.98974,0.654246
3.11538,0.365297
3.24103,0.478361
3.36667,0.420879
3.49231,0.634874
3.61795,0.522831
3.74359,0.528572
3.86923,0.581032
3.99487,0.407766
4.12051,0.500806
4.24615,0.423636
4.37179,0.601584
4.49744,0.60012
4.62308,0.684065
4.74872,0.657939
4.87436,0.534134
5.,0.537094
0.1,0.3231
0.225641,0.307882
0.351282,0.308266
0.476923,0.307565
0.602564,0.304089
0.728205,0.355269
0.853846,0.315315
0.979487,0.315375
1.10513,0.321306
1.23077,0.33349
1.35641,0.478583
1.48205,0.354125
1.60769,0.367089
1.73333,0.493207
1.85897,0.400968
1.98462,0.337372
2.11026,0.364291
2.2359,0.410271
2.36154,0.382622
2.48718,0.484805
2.61282,0.382303
2.73846,0.464919
2.8641,0.544409
2.98974,0.488277
3.11538,0.450647
3.24103,0.58638
3.36667,0.557805
3.49231,0.451667
3.61795,0.621576
3.74359,0.629636
3.86923,0.639324
3.99487,0.64816
4.12051,0.374187
4.24615,0.675844
4.37179,0.574344
4.49744,0.46158
4.62308,0.731999
4.74872,0.595839
4.87436,0.419165
5.,0.420422
0.1,0.323315
0.225641,0.308318
0.351282,0.30596
0.476923,0.31227
0.602564,0.303643
0.728205,0.325828
0.853846,0.30654
0.979487,0.334376
1.10513,0.325076
1.23077,0.353002
1.35641,0.318712
1.48205,0.332765
1.60769,0.347994
1.73333,0.504374
1.85897,0.493187
1.98462,0.371676
2.11026,0.388927
2.2359,0.374393
2.36154,0.590616
2.48718,0.50871
2.61282,0.475295
2.73846,0.526598
2.8641,0.464907
2.98974,0.416829
3.11538,0.445946
3.24103,0.522116
3.36667,0.518409
3.49231,0.704588
3.61795,0.475412
3.74359,0.625135
3.86923,0.380328
3.99487,0.657565
4.12051,0.458828
4.24615,0.578803
4.37179,0.576991
4.49744,0.45061
4.62308,0.537205
4.74872,0.579619
4.87436,0.786005
5.,0.584016
0.1,0.323655
0.225641,0.31228
0.351282,0.311024
0.476923,0.30768
0.602564,0.316994
0.728205,0.339946
0.853846,0.330784
0.979487,0.341415
1.10513,0.313378
1.23077,0.403444
1.35641,0.328173
1.48205,0.455664
1.60769,0.390289
1.73333,0.464151
1.85897,0.377687
1.98462,0.486221
2.11026,0.395387
2.2359,0.533714
2.36154,0.49145
