"\varepsilon","J_{xy}","promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi"
0.8,1.9000000000000001,0.29218507040046876
0.9,1.9000000000000001,0.29195504040901477
1.,1.9000000000000001,0.2919156734179123
1.1,1.9000000000000001,0.2919965499307633
1.2000000000000002,1.9000000000000001,0.2920499528672733
1.3,1.9000000000000001,0.29234683008313084
1.4000000000000001,1.9000000000000001,0.2928826969211182
1.5,1.9000000000000001,0.2935231999911572
1.6,1.9000000000000001,0.293910698173866
1.7000000000000002,1.9000000000000001,0.2944884312665945
1.8,1.9000000000000001,0.2947325212287393
1.9000000000000001,1.9000000000000001,0.29505763024839005
2.,1.9000000000000001,0.29522241955921114
0.,2.,0.2986278241274726
0.1,2.,0.29707835835137003
0.2,2.,0.2956096062283851
0.30000000000000004,2.,0.29467117930684816
0.4,2.,0.29378021427693685
0.5,2.,0.2928997314527959
0.6000000000000001,2.,0.29244040742589406
0.7000000000000001,2.,0.2918381785549531
0.8,2.,0.2917724781576757
0.9,2.,0.2916543248868469
1.,2.,0.2915973684165746
1.1,2.,0.29169757463445495
1.2000000000000002,2.,0.29180920389586074
1.3,2.,0.29216361287150483
1.4000000000000001,2.,0.2923357639993692
1.5,2.,0.293029713693139
1.6,2.,0.2936018308037133
1.7000000000000002,2.,0.2939116685195917
1.8,2.,0.2944284223667221
1.9000000000000001,2.,0.2949676433477754
2.,2.,0.29503989415912507
