hz,J,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
2.3,2.3,0.398104
2.3,2.4,0.405146
2.3,2.5,0.408607
2.3,2.6,0.409685
2.3,2.7,0.410883
2.3,2.8,0.416966
2.3,2.9,0.435034
2.3,3.,0.457766
2.4,0.,1.
2.4,0.1,0.746941
2.4,0.2,0.664788
2.4,0.3,0.630299
2.4,0.4,0.608684
2.4,0.5,0.5985
2.4,0.6,0.590417
2.4,0.7,0.580377
2.4,0.8,0.564178
2.4,0.9,0.54623
2.4,1.,0.53512
2.4,1.1,0.522811
2.4,1.2,0.500632
2.4,1.3,0.476634
2.4,1.4,0.455082
2.4,1.5,0.441687
2.4,1.6,0.436919
2.4,1.7,0.454882
2.4,1.8,0.441705
2.4,1.9,0.42122
2.4,2.,0.421129
2.4,2.1,0.411706
2.4,2.2,0.411473
2.4,2.3,0.410454
2.4,2.4,0.404479
2.4,2.5,0.411624
2.4,2.6,0.41601
2.4,2.7,0.412494
2.4,2.8,0.419556
2.4,2.9,0.417403
2.4,3.,0.441809
2.5,0.,1.
2.5,0.1,0.755183
2.5,0.2,0.673619
2.5,0.3,0.637423
2.5,0.4,0.614634
2.5,0.5,0.603386
2.5,0.6,0.594832
2.5,0.7,0.586588
2.5,0.8,0.573255
2.5,0.9,0.555854
2.5,1.,0.543853
2.5,1.1,0.533341
2.5,1.2,0.5173
2.5,1.3,0.485085
2.5,1.4,0.474425
2.5,1.5,0.454451
2.5,1.6,0.442523
2.5,1.7,0.440664
2.5,1.8,0.46247
2.5,1.9,0.453607
2.5,2.,0.430589
2.5,2.1,0.421053
2.5,2.2,0.415751
2.5,2.3,0.41767
2.5,2.4,0.41628
2.5,2.5,0.412061
2.5,2.6,0.417591
2.5,2.7,0.421608
2.5,2.8,0.416133
2.5,2.9,0.419574
2.5,3.,0.418781
2.6,0.,1.
2.6,0.1,0.762388
2.6,0.2,0.682455
2.6,0.3,0.643901
2.6,0.4,0.620449
2.6,0.5,0.607717
2.6,0.6,0.599063
2.6,0.7,0.591195
2.6,0.8,0.578913
2.6,0.9,0.564462
2.6,1.,0.550409
2.6,1.1,0.541437
2.6,1.2,0.528955
2.6,1.3,0.514028
2.6,1.4,0.498364
2.6,1.5,0.471448
2.6,1.6,0.45518
2.6,1.7,0.442534
2.6,1.8,0.454134
2.6,1.9,0.464753
2.6,2.,0.457457
2.6,2.1,0.43727
2.6,2.2,0.422488
2.6,2.3,0.419645
2.6,2.4,0.424201
2.6,2.5,0.422973
2.6,2.6,0.417533
2.6,2.7,0.423871
2.6,2.8,0.424328
2.6,2.9,0.419795
2.6,3.,0.42323
2.7,0.,1.
2.7,0.1,0.768751
2.7,0.2,0.691135
2.7,0.3,0.650043
2.7,0.4,0.626221
2.7,0.5,0.611273
2.7,0.6,0.603506
2.7,0.7,0.595143
2.7,0.8,0.583791
2.7,0.9,0.572159
2.7,1.,0.557273
2.7,1.1,0.54882
2.7,1.2,0.538634
2.7,1.3,0.527943
2.7,1.4,0.516961
2.7,1.5,0.499106
2.7,1.6,0.469491
2.7,1.7,0.456937
2.7,1.8,0.447437
2.7,1.9,0.467423
2.7,2.,0.470131
2.7,2.1,0.464306
2.7,2.2,0.44354
2.7,2.3,0.427797
2.7,2.4,0.42418
2.7,2.5,0.429195
2.7,2.6,0.430348
2.7,2.7,0.422654
2.7,2.8,0.429063
2.7,2.9,0.428516
2.7,3.,0.423641
2.8,0.,1.
2.8,0.1,0.774441
2.8,0.2,0.699556
2.8,0.3,0.65619
2.8,0.4,0.631772
2.8,0.5,0.615247
2.8,0.6,0.607697
2.8,0.7,0.598172
2.8,0.8,0.588256
2.8,0.9,0.578785
2.8,1.,0.564221
2.8,1.1,0.554659
2.8,1.2,0.54623
2.8,1.3,0.535851
2.8,1.4,0.52621
2.8,1.5,0.50593
2.8,1.6,0.496805
2.8,1.7,0.469086
2.8,1.8,0.456157
2.8,1.9,0.456864
2.8,2.,0.473646
2.8,2.1,0.479176
2.8,2.2,0.468598
2.8,2.3,0.450237
2.8,2.4,0.435509
2.8,2.5,0.428342
2.8,2.6,0.43431
2.8,2.7,0.437441
2.8,2.8,0.428947
2.8,2.9,0.433888
2.8,3.,0.432839
2.9,0.,1.
2.9,0.1,0.779594
2.9,0.2,0.707675
2.9,0.3,0.662467
2.9,0.4,0.637097
2.9,0.5,0.619699
2.9,0.6,0.610978
2.9,0.7,0.601924
2.9,0.8,0.592716
2.9,0.9,0.582207
2.9,1.,0.570761
2.9,1.1,0.5599
2.9,1.2,0.551514
2.9,1.3,0.540264
2.9,1.4,0.534247
2.9,1.5,0.52108
2.9,1.6,0.509445
2.9,1.7,0.494193
2.9,1.8,0.469177
2.9,1.9,0.461485
2.9,2.,0.472995
2.9,2.1,0.473061
2.9,2.2,0.481849
2.9,2.3,0.473118
2.9,2.4,0.455711
2.9,2.5,0.440192
2.9,2.6,0.432126
2.9,2.7,0.439791
2.9,2.8,0.444504
2.9,2.9,0.43546
2.9,3.,0.439086
3.,0.,1.
3.,0.1,0.784308
3.,0.2,0.715473
3.,0.3,0.66883
3.,0.4,0.642372
3.,0.5,0.624326
3.,0.6,0.613751
3.,0.7,0.605674
3.,0.8,0.596249
3.,0.9,0.585657
3.,1.,0.577061
3.,1.1,0.564871
3.,1.2,0.556514
3.,1.3,0.544442
3.,1.4,0.539362
3.,1.5,0.523907
3.,1.6,0.511688
3.,1.7,0.506261
3.,1.8,0.491011
3.,1.9,0.470704
3.,2.,0.465762
3.,2.1,0.482728
3.,2.2,0.490495
3.,2.3,0.482185
3.,2.4,0.47795
3.,2.5,0.46074
3.,2.6,0.442964
3.,2.7,0.436349
3.,2.8,0.445028
3.,2.9,0.451793
3.,3.,0.444774
