"hz","J","pureza del caometro (indicador de Wisniacki)"
1.7,0.4,0.672352
1.7,0.5,0.67718
1.7,0.6,0.645916
1.7,0.7,0.644153
1.7,0.8,0.636071
1.7,0.9,0.636347
1.7,1.,0.627051
1.7,1.1,0.607885
1.7,1.2,0.605422
1.7,1.3,0.596993
1.7,1.4,0.604251
1.7,1.5,0.599973
1.7,1.6,0.577916
1.7,1.7,0.573501
1.7,1.8,0.594257
1.7,1.9,0.593499
1.7,2.,0.59865
1.7,2.1,0.593959
1.7,2.2,0.605421
1.7,2.3,0.603332
1.7,2.4,0.592387
1.7,2.5,0.60784
1.7,2.6,0.614439
1.7,2.7,0.622277
1.7,2.8,0.614984
1.7,2.9,0.619413
1.7,3.,0.606531
1.8,0.,1.
1.8,0.1,0.77695
1.8,0.2,0.728206
1.8,0.3,0.712059
1.8,0.4,0.696467
1.8,0.5,0.707175
1.8,0.6,0.671187
1.8,0.7,0.686637
1.8,0.8,0.649945
1.8,0.9,0.655114
1.8,1.,0.630498
1.8,1.1,0.613152
1.8,1.2,0.613657
1.8,1.3,0.61383
1.8,1.4,0.613663
1.8,1.5,0.621244
1.8,1.6,0.598482
1.8,1.7,0.598231
1.8,1.8,0.58531
1.8,1.9,0.613151
1.8,2.,0.591985
1.8,2.1,0.584087
1.8,2.2,0.600356
1.8,2.3,0.59379
1.8,2.4,0.609158
1.8,2.5,0.594716
1.8,2.6,0.621324
1.8,2.7,0.606037
1.8,2.8,0.633816
1.8,2.9,0.628116
1.8,3.,0.627533
1.9,0.,1.
1.9,0.1,0.801602
1.9,0.2,0.77047
1.9,0.3,0.72817
1.9,0.4,0.716681
1.9,0.5,0.700861
1.9,0.6,0.704882
1.9,0.7,0.69081
1.9,0.8,0.652069
1.9,0.9,0.655748
1.9,1.,0.636839
1.9,1.1,0.640255
1.9,1.2,0.604532
1.9,1.3,0.631298
1.9,1.4,0.622649
1.9,1.5,0.602883
1.9,1.6,0.6061
1.9,1.7,0.604449
1.9,1.8,0.598923
1.9,1.9,0.600192
1.9,2.,0.607248
1.9,2.1,0.608333
1.9,2.2,0.608706
1.9,2.3,0.616337
1.9,2.4,0.610613
1.9,2.5,0.603466
1.9,2.6,0.628972
1.9,2.7,0.627813
1.9,2.8,0.621
1.9,2.9,0.627933
1.9,3.,0.621603
2.,0.,1.
2.,0.1,0.811594
2.,0.2,0.762258
2.,0.3,0.711939
2.,0.4,0.707635
2.,0.5,0.713958
2.,0.6,0.723209
2.,0.7,0.68431
2.,0.8,0.675029
2.,0.9,0.676685
2.,1.,0.666327
2.,1.1,0.623583
2.,1.2,0.63945
2.,1.3,0.619923
2.,1.4,0.603649
2.,1.5,0.606922
2.,1.6,0.61887
2.,1.7,0.596992
2.,1.8,0.597286
2.,1.9,0.60787
2.,2.,0.599371
2.,2.1,0.59544
2.,2.2,0.612924
2.,2.3,0.604766
2.,2.4,0.611065
2.,2.5,0.605186
2.,2.6,0.611511
2.,2.7,0.637816
2.,2.8,0.617244
2.,2.9,0.625194
2.,3.,0.655718
2.1,0.,1.
2.1,0.1,0.840516
2.1,0.2,0.770708
2.1,0.3,0.742784
2.1,0.4,0.760616
2.1,0.5,0.721181
2.1,0.6,0.742383
2.1,0.7,0.687405
2.1,0.8,0.6589
2.1,0.9,0.673755
2.1,1.,0.669364
2.1,1.1,0.637822
2.1,1.2,0.645704
2.1,1.3,0.641023
2.1,1.4,0.633952
2.1,1.5,0.62274
2.1,1.6,0.633479
2.1,1.7,0.628779
2.1,1.8,0.604496
2.1,1.9,0.615501
2.1,2.,0.606889
2.1,2.1,0.602807
2.1,2.2,0.616787
2.1,2.3,0.609147
2.1,2.4,0.604052
2.1,2.5,0.611599
2.1,2.6,0.615826
2.1,2.7,0.625878
2.1,2.8,0.650397
2.1,2.9,0.635781
2.1,3.,0.61862
2.2,0.,1.
2.2,0.1,0.808517
2.2,0.2,0.790253
2.2,0.3,0.745142
2.2,0.4,0.731859
2.2,0.5,0.707734
2.2,0.6,0.707281
2.2,0.7,0.712164
2.2,0.8,0.695863
2.2,0.9,0.677588
2.2,1.,0.66725
2.2,1.1,0.635768
2.2,1.2,0.645655
2.2,1.3,0.624554
2.2,1.4,0.629154
2.2,1.5,0.626032
2.2,1.6,0.63082
2.2,1.7,0.611659
2.2,1.8,0.604794
2.2,1.9,0.607271
2.2,2.,0.601268
2.2,2.1,0.615338
2.2,2.2,0.604128
2.2,2.3,0.620018
2.2,2.4,0.623578
2.2,2.5,0.61458
2.2,2.6,0.611589
2.2,2.7,0.626494
2.2,2.8,0.634442
2.2,2.9,0.629388
2.2,3.,0.631517
2.3,0.,1.
2.3,0.1,0.807867
2.3,0.2,0.757158
2.3,0.3,0.77081
2.3,0.4,0.736728
2.3,0.5,0.744324
2.3,0.6,0.737257
2.3,0.7,0.736798
2.3,0.8,0.711078
2.3,0.9,0.693714
2.3,1.,0.679615
2.3,1.1,0.661506
2.3,1.2,0.659548
2.3,1.3,0.6729
2.3,1.4,0.618448
2.3,1.5,0.645796
2.3,1.6,0.623681
2.3,1.7,0.638983
2.3,1.8,0.613699
2.3,1.9,0.623487
2.3,2.,0.603134
2.3,2.1,0.632687
2.3,2.2,0.60669
2.3,2.3,0.599262
2.3,2.4,0.600914
2.3,2.5,0.623705
2.3,2.6,0.6093
2.3,2.7,0.629713
2.3,2.8,0.635554
2.3,2.9,0.631434
2.3,3.,0.639764
2.4,0.,1.
2.4,0.1,0.81831
2.4,0.2,0.780435
2.4,0.3,0.756271
2.4,0.4,0.766316
2.4,0.5,0.749066
2.4,0.6,0.711781
2.4,0.7,0.724711
2.4,0.8,0.692067
2.4,0.9,0.720078
2.4,1.,0.670073
2.4,1.1,0.664683
2.4,1.2,0.659342
2.4,1.3,0.63231
2.4,1.4,0.635666
2.4,1.5,0.636953
2.4,1.6,0.640562
2.4,1.7,0.64572
2.4,1.8,0.614498
2.4,1.9,0.632197
2.4,2.,0.641305
2.4,2.1,0.635705
2.4,2.2,0.619681
2.4,2.3,0.617412
2.4,2.4,0.62958
2.4,2.5,0.611612
2.4,2.6,0.618461
2.4,2.7,0.617448
2.4,2.8,0.619611
2.4,2.9,0.632171
2.4,3.,0.641322
2.5,0.,1.
2.5,0.1,0.857987
2.5,0.2,0.783177
2.5,0.3,0.743618
2.5,0.4,0.769473
2.5,0.5,0.730066
2.5,0.6,0.71991
2.5,0.7,0.766578
2.5,0.8,0.736744
2.5,0.9,0.720986
2.5,1.,0.697479
2.5,1.1,0.704028
2.5,1.2,0.682938
2.5,1.3,0.666988
2.5,1.4,0.680105
2.5,1.5,0.63485
2.5,1.6,0.63238
2.5,1.7,0.652931
2.5,1.8,0.642652
2.5,1.9,0.653528
2.5,2.,0.634564
2.5,2.1,0.627467
2.5,2.2,0.632149
2.5,2.3,0.63402
2.5,2.4,0.61956
2.5,2.5,0.622107
2.5,2.6,0.627252
2.5,2.7,0.618547
2.5,2.8,0.611304
2.5,2.9,0.620539
2.5,3.,0.625019
2.6,0.,1.
2.6,0.1,0.842858
2.6,0.2,0.782318
2.6,0.3,0.780306
2.6,0.4,0.765644
2.6,0.5,0.734187
2.6,0.6,0.730762
2.6,0.7,0.737568
2.6,0.8,0.735845
2.6,0.9,0.689685
2.6,1.,0.735156
2.6,1.1,0.69538
2.6,1.2,0.70857
2.6,1.3,0.696
2.6,1.4,0.682304
2.6,1.5,0.668906
2.6,1.6,0.619652
2.6,1.7,0.644846
2.6,1.8,0.617034
2.6,1.9,0.636859
2.6,2.,0.644848
2.6,2.1,0.621299
2.6,2.2,0.610007
2.6,2.3,0.610363
2.6,2.4,0.641538
2.6,2.5,0.629738
2.6,2.6,0.614387
2.6,2.7,0.620345
2.6,2.8,0.641531
2.6,2.9,0.628853
2.6,3.,0.632165
2.7,0.,1.
2.7,0.1,0.84533
2.7,0.2,0.78737
2.7,0.3,0.756009
2.7,0.4,0.733381
2.7,0.5,0.722758
2.7,0.6,0.749846
2.7,0.7,0.728105
2.7,0.8,0.739328
2.7,0.9,0.708103
2.7,1.,0.683144
2.7,1.1,0.711099
2.7,1.2,0.662119
2.7,1.3,0.698138
2.7,1.4,0.704638
2.7,1.5,0.645817
2.7,1.6,0.668781
2.7,1.7,0.646753
2.7,1.8,0.623252
2.7,1.9,0.63073
2.7,2.,0.642282
2.7,2.1,0.665705
2.7,2.2,0.64301
2.7,2.3,0.629798
2.7,2.4,0.624991
2.7,2.5,0.628608
2.7,2.6,0.623832
2.7,2.7,0.621726
2.7,2.8,0.629418
2.7,2.9,0.626761
2.7,3.,0.625326
2.8,0.,1.
2.8,0.1,0.847974
2.8,0.2,0.791259
2.8,0.3,0.758542
2.8,0.4,0.746218
2.8,0.5,0.713849
2.8,0.6,0.743603
2.8,0.7,0.720967
2.8,0.8,0.698163
2.8,0.9,0.725612
2.8,1.,0.695191
2.8,1.1,0.737179
2.8,1.2,0.711375
2.8,1.3,0.690558
2.8,1.4,0.705681
2.8,1.5,0.662977
2.8,1.6,0.669855
2.8,1.7,0.649785
2.8,1.8,0.641791
2.8,1.9,0.622189
2.8,2.,0.654035
2.8,2.1,0.629495
2.8,2.2,0.641492
2.8,2.3,0.662648
2.8,2.4,0.6274
2.8,2.5,0.623584
2.8,2.6,0.639624
2.8,2.7,0.622875
2.8,2.8,0.638797
2.8,2.9,0.636824
2.8,3.,0.623552
2.9,0.,1.
2.9,0.1,0.831799
2.9,0.2,0.81446
2.9,0.3,0.760194
2.9,0.4,0.775714
2.9,0.5,0.745219
2.9,0.6,0.730104
2.9,0.7,0.732045
2.9,0.8,0.72141
2.9,0.9,0.705714
2.9,1.,0.705454
2.9,1.1,0.714186
2.9,1.2,0.690287
2.9,1.3,0.699939
2.9,1.4,0.709309
2.9,1.5,0.705414
2.9,1.6,0.647751
2.9,1.7,0.659717
2.9,1.8,0.664007
2.9,1.9,0.651912
2.9,2.,0.643622
2.9,2.1,0.645765
2.9,2.2,0.660574
2.9,2.3,0.668481
2.9,2.4,0.649596
2.9,2.5,0.640598
2.9,2.6,0.630875
2.9,2.7,0.630461
2.9,2.8,0.635571
2.9,2.9,0.617543
2.9,3.,0.63919
3.,0.,1.
3.,0.1,0.864223
3.,0.2,0.802817
3.,0.3,0.783246
3.,0.4,0.777391
3.,0.5,0.744999
3.,0.6,0.751744
3.,0.7,0.701438
3.,0.8,0.718852
3.,0.9,0.732884
3.,1.,0.71376
3.,1.1,0.712539
3.,1.2,0.69684
3.,1.3,0.691917
3.,1.4,0.70543
3.,1.5,0.675706
3.,1.6,0.669547
3.,1.7,0.674727
3.,1.8,0.682206
3.,1.9,0.64974
3.,2.,0.655503
3.,2.1,0.680771
3.,2.2,0.655039
3.,2.3,0.652553
3.,2.4,0.670591
3.,2.5,0.645219
3.,2.6,0.640889
3.,2.7,0.644981
3.,2.8,0.624608
3.,2.9,0.643788
3.,3.,0.648385
