hz,J,promedio temporal de 0 a 100 de la pureza del caometro
2.1,1.6,0.650676
2.1,1.7,0.649881
2.1,1.8,0.648319
2.1,1.9,0.629371
2.1,2.,0.65229
2.1,2.1,0.653706
2.1,2.2,0.648889
2.1,2.3,0.647236
2.1,2.4,0.64904
2.1,2.5,0.662247
2.1,2.6,0.664508
2.1,2.7,0.669654
2.1,2.8,0.654342
2.1,2.9,0.666836
2.1,3.,0.678277
2.2,0.,1.
2.2,0.1,0.809537
2.2,0.2,0.744625
2.2,0.3,0.708672
2.2,0.4,0.733933
2.2,0.5,0.704758
2.2,0.6,0.712779
2.2,0.7,0.715988
2.2,0.8,0.718169
2.2,0.9,0.737339
2.2,1.,0.719131
2.2,1.1,0.688043
2.2,1.2,0.707568
2.2,1.3,0.678155
2.2,1.4,0.662437
2.2,1.5,0.66085
2.2,1.6,0.682075
2.2,1.7,0.657935
2.2,1.8,0.641314
2.2,1.9,0.669479
2.2,2.,0.651569
2.2,2.1,0.653296
2.2,2.2,0.656068
2.2,2.3,0.64648
2.2,2.4,0.658418
2.2,2.5,0.676208
2.2,2.6,0.658798
2.2,2.7,0.664154
2.2,2.8,0.66768
2.2,2.9,0.675279
2.2,3.,0.65435
2.3,0.,1.
2.3,0.1,0.810964
2.3,0.2,0.785015
2.3,0.3,0.748503
2.3,0.4,0.721752
2.3,0.5,0.724772
2.3,0.6,0.722028
2.3,0.7,0.698177
2.3,0.8,0.702233
2.3,0.9,0.727879
2.3,1.,0.720989
2.3,1.1,0.712764
2.3,1.2,0.710099
2.3,1.3,0.678722
2.3,1.4,0.674948
2.3,1.5,0.669469
2.3,1.6,0.670458
2.3,1.7,0.683985
2.3,1.8,0.665808
2.3,1.9,0.637999
2.3,2.,0.664519
2.3,2.1,0.657771
2.3,2.2,0.64543
2.3,2.3,0.663677
2.3,2.4,0.651344
2.3,2.5,0.650232
2.3,2.6,0.652474
2.3,2.7,0.673728
2.3,2.8,0.659428
2.3,2.9,0.674024
2.3,3.,0.658543
2.4,0.,1.
2.4,0.1,0.817763
2.4,0.2,0.790308
2.4,0.3,0.752514
2.4,0.4,0.753399
2.4,0.5,0.726743
2.4,0.6,0.721065
2.4,0.7,0.71354
2.4,0.8,0.703807
2.4,0.9,0.71189
2.4,1.,0.735901
2.4,1.1,0.707689
2.4,1.2,0.706237
2.4,1.3,0.730705
2.4,1.4,0.683203
2.4,1.5,0.675711
2.4,1.6,0.655112
2.4,1.7,0.691236
2.4,1.8,0.666076
2.4,1.9,0.651633
2.4,2.,0.644605
2.4,2.1,0.651487
2.4,2.2,0.636779
2.4,2.3,0.649957
2.4,2.4,0.637013
2.4,2.5,0.650373
2.4,2.6,0.655027
2.4,2.7,0.669488
2.4,2.8,0.68997
2.4,2.9,0.669917
2.4,3.,0.673067
2.5,0.,1.
2.5,0.1,0.838383
2.5,0.2,0.78764
2.5,0.3,0.782564
2.5,0.4,0.740613
2.5,0.5,0.723962
2.5,0.6,0.743256
2.5,0.7,0.705847
2.5,0.8,0.712213
2.5,0.9,0.699387
2.5,1.,0.704235
2.5,1.1,0.709537
2.5,1.2,0.708666
2.5,1.3,0.71014
2.5,1.4,0.71127
2.5,1.5,0.691655
2.5,1.6,0.678158
2.5,1.7,0.66938
2.5,1.8,0.673742
2.5,1.9,0.673505
2.5,2.,0.669923
2.5,2.1,0.656648
2.5,2.2,0.652846
2.5,2.3,0.666798
2.5,2.4,0.659923
2.5,2.5,0.660078
2.5,2.6,0.64535
2.5,2.7,0.647888
2.5,2.8,0.646335
2.5,2.9,0.654622
2.5,3.,0.663029
2.6,0.,1.
2.6,0.1,0.825809
2.6,0.2,0.780333
2.6,0.3,0.764354
2.6,0.4,0.746259
2.6,0.5,0.758854
2.6,0.6,0.722037
